time,theta
460,3.12737
461,3.12726
462,3.12721
463,3.1271
464,3.12705
465,3.12695
466,3.12684
467,3.12679
468,3.12674
469,3.12664
470,3.12659
471,3.12653
472,3.12643
473,3.12633
474,3.12628
475,3.12618
476,3.12613
477,3.12603
478,3.12598
479,3.12588
480,3.12583
481,3.12573
482,3.12568
483,3.12563
484,3.12554
485,3.12549
486,3.12539
487,3.1253
488,3.12525
489,3.12516
490,3.12511
491,3.12502
492,3.12497
493,3.12488
494,3.12483
495,3.12474
496,3.1247
497,3.12461
498,3.12456
499,3.12452
500,3.12443
501,3.12438
502,3.1243
503,3.12425
504,3.12417
505,3.12413
506,3.12404
507,3.12396
508,3.12392
509,3.12383
510,3.12379
511,3.12371
512,3.12367
513,3.12359
514,3.12351
515,3.12344
516,3.1234
517,3.12332
518,3.12328
519,3.12321
520,3.12317
521,3.1231
522,3.12303
523,3.12299
524,3.12292
525,3.12288
526,3.12282
527,3.12278
528,3.12271
529,3.12265
530,3.12258
531,3.12255
532,3.12248
533,3.12245
534,3.12242
535,3.12236
536,3.12233
537,3.12227
538,3.12224
539,3.12221
540,3.12215
541,3.12212
542,3.12207
543,3.12204
544,3.12198
545,3.12193
546,3.1219
547,3.12185
548,3.12183
549,3.12178
550,3.12175
551,3.12173
552,3.12168
553,3.12165
554,3.12161
555,3.12159
556,3.12154
557,3.1215
558,3.12145
559,3.12143
560,3.12137
561,3.12135
562,3.12132
563,3.12128
564,3.12126
565,3.12124
566,3.12121
567,3.12119
568,3.12116
569,3.12112
570,3.12111
571,3.12108
572,3.12106
573,3.12103
574,3.12102
575,3.12099
576,3.12097
577,3.12095
578,3.12093
579,3.12092
580,3.1209
581,3.12088
582,3.12086
583,3.12085
584,3.12083
585,3.12082
586,3.12081
587,3.12079
588,3.12078
589,3.12077
590,3.12076
591,3.12075
592,3.12074
593,3.12073
594,3.12072
595,3.12071
596,3.12071
597,3.1207
598,3.12069
599,3.12069
600,3.12068
601,3.12068
602,3.12067
603,3.12067
604,3.12067
605,3.12067
606,3.12067
607,3.12066
608,3.12066
609,3.12066
610,3.12066
611,3.12066
612,3.12066
613,3.12066
614,3.12066
615,3.12066
616,3.12066
617,3.12066
618,3.12066
619,3.12066
620,3.12066
621,3.12066
622,3.12066
623,3.12066
624,3.12066
625,3.12065
626,3.12065
627,3.12065
628,3.12065
629,3.12065
630,3.12065
631,3.12065
632,3.12065
633,3.12065
634,3.12065
635,3.12065
636,3.12065
637,3.12065
